Title,URL,Description,Date
EVERY OFFSEASON MOVE SO FAR FOR ALL 30 TEAMS,https://www.nba.com/news/nba-offseason-every-reported-deal-2023,Keep track of every free agency deal from the 2023 NBA offseason.,1 hour ago
"CLARKSON, JAZZ REPORTEDLY AGREE TO 3-YEAR EXTENSION",https://www.nba.com/news/jordan-clarkson-jazz-extension-2023,The Jazz guard averaged 20.8 points last season and won Kia Sixth Man of the Year in 2020-21.,24 hours ago
DIVINCENZO REPORTEDLY REACHES DEAL WITH KNICKS,https://www.nba.com/news/donte-divincenzo-2023-free-agency,"The swingman is reportedly headed to the Knicks, where he will join 2 of his former Villanova teammates.","July 2, 2023"
"REPORTS: SABONIS, KINGS AGREE ON EXTENSION",https://www.nba.com/news/domantas-sabonis-kings-contract-renegotiation-extension-2023,"Kings center Domantas Sabonis reportedly renegotiates his deal into existing cap space, adding 4 years and $195 in new money.","July 2, 2023"
"REPORTS: BROOKS, ROCKETS REACH 4-YEAR DEAL",https://www.nba.com/news/dillon-brooks-rockets-agree-80-million-deal,Dillon Brooks is reportedly moving on from Memphis after spending his first 6 seasons with the team.,"July 2, 2023"
REPORTS: WESTBROOK RE-SIGNING WITH CLIPPERS,https://www.nba.com/news/russell-westbrook-2023-free-agency,"After his successful run with the Clippers to end the 2nd half of the season, the veteran point guard is rewarded with a 2-year, $8 million deal.","July 2, 2023"
REPORT: KNICKS TRADING TOPPIN TO PACERS,https://www.nba.com/news/knicks-trade-obi-toppin-to-pacers,New York reportedly sends its No. 8 pick from the 2020 Draft to Indiana in exchange for two future 2nd-round picks.,"July 2, 2023"
REPORTS: LAMELO FINALIZING 5-YEAR EXTENSION,https://www.nba.com/news/lamelo-ball-contract-extension-2023,"Guard LaMelo Ball is set to receive a reported 5-year, $260 million extension from the Hornets.","July 2, 2023"
"REPORTS: REAVES, LAKERS AGREE TO $56M DEAL",https://www.nba.com/news/austin-reaves-2023-free-agency,Swingman Austin Reaves and the Lakers have reportedly agreed to a 4-year deal.,"July 2, 2023"
"REPORTS: LOPEZ, BUCKS AGREE TO 2-YEAR DEAL",https://www.nba.com/news/brook-lopez-2023-free-agency,"Veteran center Brook Lopez agrees to a reported 2-year, $48 million deal to stay in Milwaukee.","July 1, 2023"
REPORT: LAKERS KEEP RUSSELL WITH 2-YEAR DEAL,https://www.nba.com/news/dangelo-russell-2023-free-agency,D'Angelo Russell appeared in 17 games for the Lakers last season and was a solid contributor during their West Finals run.,"July 2, 2023"
"LILLARD ASKS BLAZERS FOR TRADE, TEAM CONFIRMS",https://www.nba.com/news/blazers-damian-lillard-requests-trade,Damian Lillard is calling his shot. Portland's all-time leading scorer is ready to leave the only team he's ever played for.,"July 2, 2023"
REPORTS: CAVS LAND STRUS IN SIGN-AND-TRADE,https://www.nba.com/news/cavs-land-max-strus-sign-and-trade-deal-with-spurs-heat,"The Spurs, Cavs and Heat are a part of a reported deal in which Max Strus goes to Cleveland and Cedi Osman and Lamar Stevens go to San Antonio.","July 2, 2023"
REPORTS: PISTONS GET MORRIS IN TRADE WITH WIZARDS,https://www.nba.com/news/pistons-trade-for-monte-morris-wizards,Veteran guard and Michigan native Monte Morris is reportedly dealt from the Wizards to the Pistons.,"July 1, 2023"
REPORTS: HEAT DEAL OLADIPO BACK TO THUNDER,https://www.nba.com/news/heat-trade-victor-oladipo-to-thunder,Oklahoma City re-acquires former All-Star Victor Oladipo from Miami for future Draft compensation.,"July 1, 2023"
NBA PLAYERS REACT TO 1ST DAYS OF FREE AGENCY,https://www.nba.com/news/nba-players-react-free-agency,"The NBA free agency period started with a bang, and many players took to Twitter to applaud their teammates and friends.","July 1, 2023"
BANE REPORTEDLY AGREES TO 5-YEAR EXTENSION,https://www.nba.com/news/report-desmond-bane-agrees-to-5-year-extension-with-memphis-grizzlies,The 30th pick of the 2020 Draft reportedly cements his status as a long-term cornerstone for the Grizzlies.,"July 1, 2023"
REPORT: HALIBURTON AGREES TO MAX EXTENSION,https://www.nba.com/news/tyrese-haliburton-2023-free-agency,Haliburton became the 15th player in NBA history to average 20 points and 10 assists in a season.,"July 1, 2023"
REPORTS: ROCKETS GIVE VANVLEET 3-YEAR DEAL,https://www.nba.com/news/fred-vanvleet-2023-free-agency,The 29-year-old VanVleet brings production & experience to a Rockets team that hasn't had a winning season since 2019-20.,"July 1, 2023"
REPORTS: JOHNSON TO RE-SIGN WITH NETS,https://www.nba.com/news/cam-johnson-2023-free-agency,Johnson averaged 16.6 points over 25 games for Brooklyn during the 2022-23 season.,"July 1, 2023"
REPORTS: VINCENT TO SIGN 3-YEAR DEAL WITH LAKERS,https://www.nba.com/news/gabe-vincent-2023-free-agency,Vincent came up huge during Miami's 2023 run to the NBA Finals as he averaged 12.6 points per game in the playoffs.,"July 1, 2023"
REPORTS: RAPTORS RETAIN POELTL FOR $80 MILLION,https://www.nba.com/news/jakob-poeltl-2023-free-agency,Poeltl will remain in Toronto after averaging 13.1 points and 9.1 rebounds following his arrival at the 2023 trade deadline.,"July 1, 2023"
"REPORT: PORZINGIS, CELTICS AGREE TO EXTENSION",https://www.nba.com/news/kristaps-porzingis-2023-free-agency,"Porzingis is coming off his best NBA season, averaging a career-high 23.2 points per game.","July 1, 2023"
REPORT: MIDDLETON TO RE-SIGN WITH BUCKS,https://www.nba.com/news/khris-middleton-2023-free-agency,"The All-Star forward averaged 15.1 points, 4.9 assists and 4.2 rebounds for Milwaukee in 2022-23.","July 1, 2023"
